source_id,claim_type,source_name,source_url,publisher_type,publication_date,accessed_date,geography,procedure_scope,pricing_context,supports,authority_grade,freshness_class,next_review,notes
SRC-DEN008-001,price,"CareCredit — Dentist Prices: Dental Procedure Cost List",https://www.carecredit.com/dentistry/costs/,Commercial healthcare financing / cost-study publisher,,2026-09-16,"50 U.S. states and District of Columbia","Dental extractions; simple and surgical categories","Publisher-reported average procedural costs; not a provider quote or insurer allowed amount","Simple tooth extraction $177 average; surgical tooth extraction $363 average; study scope and source footnotes","Commercial cost dataset","Time-sensitive price data",2027-03-16,"CareCredit states actual cost varies by geography/provider and attributes cost information to ASQ360 research conducted in 2023–2024 for Synchrony. Keep extraction categories separate and do not infer inclusions not disclosed by the source."
SRC-DEN008-002,price,"Humana — Cost of common dental procedures",https://www.humana.com/dental-insurance/dental-resources/cost-of-dental-procedures,Insurer consumer resource,,2026-09-16,"Orlando, Florida","Dental extraction examples","Humana proprietary Dental Procedure Pricing Tool examples; not a U.S.-wide estimate","Erupted tooth or exposed root $225; erupted tooth requiring bone removal and/or sectioning $325; Orlando scope","Major insurer consumer pricing resource","Time-sensitive local price data",2027-03-16,"The page explicitly states the listed averages are for Orlando, Florida. Do not generalize these values nationally or merge them with CareCredit averages into one synthetic range."
SRC-DEN008-003,procedure-label,"Humana — How Much Does a Tooth Extraction Cost?",https://www.humana.com/dental-insurance/dental-resources/tooth-extraction,Insurer consumer resource,,2026-09-16,"United States consumer guidance with Orlando price example","Simple vs surgical extraction terminology","Educational description only; not a patient classification rule","Simple extraction label for an easily accessible/visible tooth; surgical extraction label when the tooth cannot be easily accessed or is broken under the gum line","Major insurer consumer clinical terminology","Review on material change",2027-09-16,"Use only to explain source labels. Never use these descriptions to determine what procedure a reader needs. Insurance statements on the source page are not adopted as universal coverage claims."
SRC-DEN008-004,clinical-definition,"ADA MouthHealthy — Extractions",https://www.mouthhealthy.org/all-topics-a-z/extractions,Professional dental association consumer resource,,2026-09-16,"General consumer education","Definition of tooth extraction","Clinical definition only; no price data","Extraction means having a tooth removed","Professional association","Relatively stable clinical definition",2027-09-16,"Use for the high-level definition only. Recovery/treatment instructions are outside DEN-008's cost-education scope."
SRC-IMP-001,clinical-definition,"FDA — Dental Implants: What You Should Know",https://www.fda.gov/medical-devices/dental-devices/dental-implants-what-you-should-know,U.S. government,2021-10-29,2026-09-16,"United States","Implant system components and materials","Clinical/device terminology only; no price data","Implant body + abutment structure; artificial teeth support; titanium/zirconium-oxide material terminology; clinician candidacy boundary","Tier 1 government","Relatively stable clinical/device definition",2027-09-16,"Do not use for prices or material-superiority claims."
SRC-IMP-002,clinical-definition,"American Academy of Periodontology — Dental Implant Procedures",https://www.perio.org/for-patients/periodontal-treatments-and-procedures/dental-implant-procedures/,Professional dental association,,2026-09-16,"General consumer education","Single-tooth, multiple-tooth, full-mouth, ridge and sinus categories","Clinical terminology only; no price data","Separates implant procedure categories and graft/sinus adjunct boundaries","Professional association","Relatively stable clinical definition",2027-09-16,"Use for taxonomy and page-boundary support; never infer reader treatment need."
SRC-DEN001-001,price,"CareCredit — Dental Implants Cost and Procedure Guide",https://www.carecredit.com/well-u/health-wellness/dental-implants-cost-dental-implants-financing/,Commercial healthcare financing / cost-study publisher,2025-03-14,2026-09-16,"50 U.S. states and District of Columbia","Single-tooth implant/artificial-root implantation process","Publisher-reported national average/range from Synchrony procedural-cost research","Single-tooth implant $2,143 average; $1,646–$4,157 range; crown excluded; state values also exclude crown, extraction and office-related fees; immediate-load implant $3,255 average","Commercial broad cost dataset","Time-sensitive price data",2027-03-16,"Cost research attributed to 2023–2024 Synchrony Average Procedural Cost Studies conducted by ASQ360°. Do not present the implant-body/process price as a complete restored tooth quote."
SRC-DEN001-002,price,"CareCredit — Single Tooth Dental Implants Cost and Procedure Guide",https://www.carecredit.com/well-u/health-wellness/single-tooth-implant/,Commercial healthcare financing / cost-study publisher,2026-02-20,2026-09-16,"50 U.S. states and District of Columbia","Full-size single-tooth implant","Publisher-reported national average/range","$2,143 average; $1,646–$4,157 range; state/district averages provided","Commercial broad cost dataset","Time-sensitive price data",2027-03-16,"Use SRC-DEN001-001 for the explicit crown-exclusion statement."
SRC-DEN001-003,price-example,"Humana — Dental implants: costs and coverage",https://www.humana.com/dental-insurance/dental-resources/dental-implant-coverage,Major insurer consumer resource,2026-04-06,2026-09-16,"Orlando, Florida","One dental implant local pricing example","Humana proprietary Dental Procedure Pricing Tool example","One implant $856–$2,122 in Orlando; cost can vary with extraction, placement and replacement-tooth fabrication","Major insurer local price example","Time-sensitive local price data",2027-03-16,"Not national. Package inclusions are not sufficiently explicit to merge with CareCredit. Tool last accessed by Humana Apr. 6, 2026."
SRC-DEN003-001,clinical-definition,"American Academy of Periodontology — Full Mouth Dental Implants",https://www.perio.org/for-patients/periodontal-treatments-and-procedures/dental-implant-procedures/full-mouth-dental-implants/,Professional dental association,,2026-09-16,"General consumer education","Full-mouth implant components","Clinical terminology only","Full-mouth implants described using implants, abutments and prosthetic teeth","Professional association","Relatively stable clinical definition",2027-09-16,"Use for components, not price or candidacy."
