page_id,url,status,parent_id,calculator_id,cluster,wave
HOM-001,/,APPROVED — FROZEN 2026-09-15,,,Site framework,A
DEN-001,/dental-implant-cost-calculator/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-001,Implants and replacement,B
DEN-002,/dental-cleaning-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-002,Cleaning and gum care,A
DEN-003,/full-mouth-dental-implants-cost/,APPROVED — FROZEN 2026-09-15,DEN-001,CALC-003,Implants and replacement,B
DEN-004,/dental-inlay-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,,Restorations and root canals,A
DEN-005,/root-canal-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-005,Restorations and root canals,A
DEN-006,/deep-teeth-cleaning-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-006,Cleaning and gum care,A
DEN-007,/dental-bone-graft-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,,Extractions and adjuncts,B
DEN-008,/tooth-extraction-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-008,Extractions and adjuncts,A
DEN-010,/dental-filling-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-010,Restorations and root canals,A
DEN-011,/dental-x-ray-cost/,APPROVED — FROZEN 2026-09-15,DEN-025,,Exams and imaging,A
DEN-012,/all-on-4-dental-implants-cost/,APPROVED — FROZEN 2026-09-15,DEN-003,CALC-003-A04,Implants and replacement,B
DEN-013,/dental-onlay-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,,Restorations and root canals,A
DEN-017,/invisalign-cost-calculator/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-017,Orthodontics,B
DEN-018,/wisdom-teeth-removal-cost/,APPROVED — FROZEN 2026-09-15,DEN-008,CALC-008-WIS,Extractions and adjuncts,B
DEN-019,/dental-veneers-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-019,Cosmetic costs,B
DEN-020,/braces-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-020,Orthodontics,B
DEN-022,/dental-crown-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-022,Restorations and root canals,A
DEN-023,/dental-bonding-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,,Cosmetic costs,B
DEN-024,/dental-bridge-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-024,Implants and replacement,B
DEN-025,/dentist-visit-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,,Exams and imaging,A
DEN-027,/dental-retainer-cost/,APPROVED — FROZEN 2026-09-15,DEN-020,,Orthodontics,B
DEN-029,/teeth-whitening-cost-at-dentist/,APPROVED — FROZEN 2026-09-15,HOM-001,,Cosmetic costs,B
DEN-030,/dentures-cost/,APPROVED — FROZEN 2026-09-15,HOM-001,CALC-030,Implants and replacement,B
DEN-032,/periodontal-maintenance-cost/,APPROVED — FROZEN 2026-09-15,DEN-006,,Cleaning and gum care,B
GUI-001,/dental-insurance-out-of-pocket-costs/,APPROVED — FROZEN 2026-09-15,HOM-001,,Paying for dental care,A
GUI-002,/affordable-dental-care/,APPROVED — FROZEN 2026-09-15,HOM-001,,Paying for dental care,A
DEF-026,/broken-tooth-repair-cost/,DEFERRED — not a build route,HOM-001,,Deferred scope,Deferred
DEF-033,/sleep-apnea-dental-appliance-cost/,DEFERRED — not a build route,HOM-001,,Deferred scope,Deferred
DEF-035,/dental-anesthesia-cost/,DEFERRED — not a build route,HOM-001,,Deferred scope,Deferred
DEF-037,/dental-insurance-costs/,DEFERRED — not a build route,HOM-001,,Deferred scope,Deferred
DEF-038,/dental-abscess-treatment-cost/,DEFERRED — not a build route,HOM-001,,Deferred scope,Deferred
TRU-001,/about/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-002,/editorial-policy/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-003,/authors/farrukh-abdullah/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-004,/contact/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-005,/privacy/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-006,/terms/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-007,/corrections-and-updates/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-008,/cost-data-methodology/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-009,/calculator-methodology/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-010,/disclosures/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-011,/medical-disclaimer/,APPROVED — FROZEN 2026-09-15,HOM-001,,Trust and methodology,A
TRU-012,/reviewers/juliana-maia-teixeira/,APPROVED — ADDED 2026-09-17,HOM-001,,Trust and methodology,A
